,bing,bing_tokens,bing_positivity_score,bing_negativity_score,google,google_tokens,google_positivity_score,google_negativity_score
0,usa should invade mexico,"[usa, invad, mexico]",0.0,0.0,usa should nuke isis,"[usa, nuke, isi]",0.0,0.0
1,usa should reject canada pipeline,"[usa, reject, canada, pipelin]",0.0,0.25,usa should invade mexico,"[usa, invad, mexico]",0.0,0.0
2,usa should start a war against north korea,"[usa, start, war, north, korea]",0.0,0.2,usa should take syrian refugees,"[usa, take, syrian, refuge]",0.0,0.0
3,usa is going down opinions,"[usa, go, opinion]",0.0,0.0,usa should invade us,"[usa, invad, us]",0.0,0.0
4,usa is a fascist banana republic,"[usa, fascist, banana, republ]",0.0,0.0,usa should be isolationist,"[usa, isolationist]",0.0,0.0
5,usa is a republic,"[usa, republ]",0.0,0.0,usa should invade canada,"[usa, invad, canada]",0.0,0.0
6,usa is a corporation,"[usa, corpor]",0.0,0.0,usa should be destroyed,"[usa, destroy]",0.0,0.5
7,usa is better than canada,"[usa, better, canada]",0.333333333333,0.0,usa should invade russia,"[usa, invad, russia]",0.0,0.0
8,usa is evil,"[usa, evil]",0.0,0.5,usa should be nuked,"[usa, nuke]",0.0,0.0
9,usa is awesome,"[usa, awesom]",0.0,0.0,usa should not attack syria,"[usa, attack, syria]",0.0,0.333333333333
10,usa is becoming a police state,"[usa, becom, polic, state]",0.0,0.0,usa doing business,"[usa, busi]",0.0,0.0
11,usa is bankrupt,"[usa, bankrupt]",0.0,0.0,us is doing bad in the olympics,"[us, bad, olymp]",0.0,0.333333333333
12,usa is not the best country,"[usa, best, countri]",0.333333333333,0.0,usa doing the shmoney dance,"[usa, shmoney, danc]",0.0,0.0
13,usa is the mark of the beast,"[usa, mark, beast]",0.0,0.0,usa doing business in italy,"[usa, busi, itali]",0.0,0.0
14,usa is what channel on rogers network,"[usa, channel, roger, network]",0.0,0.0,usa doing it right,"[usa, right]",0.0,0.0
15,usa is bad,"[usa, bad]",0.0,0.5,what is us doing about isis,"[us, isi]",0.0,0.0
16,america should invade canada,"[america, invad, canada]",0.0,0.0,how is us doing in world cup,"[us, world, cup]",0.0,0.0
17,america should have free healthcare,"[america, free, healthcar]",0.333333333333,0.0,what is us doing about russia,"[us, russia]",0.0,0.0
18,america should not be the world's policeman,"[america, world', policeman]",0.0,0.0,what is the us doing to stop isis,"[us, stop, isi]",0.0,0.0
19,america should move thanksgiving to november,"[america, move, thanksgiv, novemb]",0.0,0.0,what is the us doing about ukraine,"[us, ukrain]",0.0,0.0
20,america is not the greatest country speech,"[america, greatest, countri, speech]",0.0,0.0,usa should be isolationist,"[usa, isolationist]",0.0,0.0
21,america is stupid,"[america, stupid]",0.0,0.5,usa should be destroyed,"[usa, destroy]",0.0,0.5
22,america is not the greatest country,"[america, greatest, countri]",0.0,0.0,usa should be nuked,"[usa, nuke]",0.0,0.0
23,america is mostly germans,"[america, mostli, german]",0.0,0.0,should us be worried about ebola,"[us, worri, ebola]",0.0,0.0
24,america is not the greatest,"[america, greatest]",0.0,0.0,us should be isolationist,"[us, isolationist]",0.0,0.0
25,america is evil,"[america, evil]",0.0,0.5,us should be involved in foreign affairs,"[us, involv, foreign, affair]",0.0,0.0
26,america is not the greatest country anymore,"[america, greatest, countri, anymor]",0.0,0.0,us should be destroyed,"[us, destroy]",0.0,0.5
27,america is canadas pants,"[america, canada, pant]",0.0,0.0,us should be communist,"[us, communist]",0.0,0.0
28,america is a corporation,"[america, corpor]",0.0,0.0,us should be world police,"[us, world, polic]",0.0,0.0
29,america is not the land of the free,"[america, land, free]",0.333333333333,0.0,usa should not be called america,"[usa, call, america]",0.0,0.0
30,america is in trouble,"[america, troubl]",0.0,0.5,usa is a country,"[usa, countri]",0.0,0.0
31,america is doomed,"[america, doom]",0.0,0.5,usa is a republic,"[usa, republ]",0.0,0.0
32,barack obama is the isis leader,"[barack, obama, isi, leader]",0.0,0.0,usa is in what continent,"[usa, contin]",0.0,0.0
33,barack obama is homosecual,"[barack, obama, homosecu]",0.0,0.0,usa is ilanlari,"[usa, ilanlari]",0.0,0.0
34,barack obama is the first gay president,"[barack, obama, first, gay, presid]",0.0,0.0,usa is an oligarchy,"[usa, oligarchi]",0.0,0.0
35,barack obama is gog,"[barack, obama, gog]",0.0,0.0,usa is a democracy,"[usa, democraci]",0.0,0.0
36,barack obama is a 33 degree freemason,"[barack, obama, 33, degre, freemason]",0.0,0.0,usa is bae,"[usa, bae]",0.0,0.0
37,obama should be scared,"[obama, scare]",0.0,0.5,usa is not america,"[usa, america]",0.0,0.0
38,obama should go on trial,"[obama, go, trial]",0.0,0.0,usa is the best,"[usa, best]",0.5,0.0
39,obama should attend scalia's funeral,"[obama, attend, scalia', funer]",0.0,0.0,usa is north america,"[usa, north, america]",0.0,0.0
40,obama should have been a comedian,"[obama, comedian]",0.0,0.0,america should convert to the metric system,"[america, convert, metric, system]",0.0,0.0
41,obama should not run for a second term,"[obama, run, second, term]",0.0,0.0,america should accept syrian refugees,"[america, accept, syrian, refuge]",0.25,0.0
42,obama is going to stay in power,"[obama, go, stay, power]",0.0,0.0,america should close its borders,"[america, close, border]",0.0,0.0
