,bing,bing_tokens,bing_positivity_score,bing_negativity_score,google,google_tokens,google_positivity_score,google_negativity_score
0,сша должны быть разрушен,"[сша, должны, быть, разрушен]",0.0,0.0,сша должны китаю,"[сша, должны, китаю]",0.0,0.0
1,сша должны быть разрушен,"[сша, должны, быть, разрушен]",0.0,0.0,сша должны сами себе,"[сша, должны, сами, себе]",0.0,0.0
2,,[],0.0,0.0,сша должны россии,"[сша, должны, россии]",0.0,0.0
3,,[],0.0,0.0,сша должны быть разрушены,"[сша, должны, быть, разрушены]",0.0,0.0
4,,[],0.0,0.0,сша должны быть уничтожены,"[сша, должны, быть, уничтожены]",0.0,0.0
5,,[],0.0,0.0,сша должны китаю золото,"[сша, должны, китаю, золото]",0.0,0.0
6,,[],0.0,0.0,сша должны отдать нам украину,"[сша, должны, отдать, нам, украину]",0.0,0.0
7,,[],0.0,0.0,сша должны казахстану,"[сша, должны, казахстану]",0.0,0.0
8,,[],0.0,0.0,сша должны,"[сша, должны]",0.0,0.0
9,,[],0.0,0.0,сша должны сдохнуть,"[сша, должны, сдохнуть]",0.0,0.0
10,,[],0.0,0.0,в сша делают обрезание всем новорожденным,"[в, сша, делают, обрезание, всем, новорожденным]",0.0,0.0
11,,[],0.0,0.0,в сша делают обрезание,"[в, сша, делают, обрезание]",0.0,0.0
12,,[],0.0,0.0,как сша делают революции,"[как, сша, делают, революции]",0.0,0.0
13,,[],0.0,0.0,что делают сша в афганистане,"[что, делают, сша, в, афганистане]",0.0,0.0
14,,[],0.0,0.0,зачем в сша делают обрезание,"[зачем, в, сша, делают, обрезание]",0.0,0.0
15,,[],0.0,0.0,как в сша делают дорожную разметку,"[как, в, сша, делают, дорожную, разметку]",0.0,0.0
16,,[],0.0,0.0,что делают сша на украине,"[что, делают, сша, на, украине]",0.0,0.0
17,,[],0.0,0.0,что делают сша,"[что, делают, сша]",0.0,0.0
18,,[],0.0,0.0,usa makes world cup,"[usa, make, world, cup]",0.0,0.0
19,,[],0.0,0.0,usa makes money on war,"[usa, make, money, war]",0.0,0.25
