,bing,bing_tokens,bing_positivity_score,bing_negativity_score,google,google_tokens,google_positivity_score,google_negativity_score
0,barack obama father,"[barack, obama, father]",0.0,0.0,l'amérique fait combien de fois la france,"[l'amériqu, fait, combien, de, foi, la, franc]",0.0,0.0
1,barack obama father wwii,"[barack, obama, father, wwii]",0.0,0.0,l'amérique fait elle partie de l'europe,"[l'amériqu, fait, ell, parti, de, l'europ]",0.0,0.0
2,barack obama fairey,"[barack, obama, fairey]",0.0,0.0,l'amerique fait elle encore rever,"[l'ameriqu, fait, ell, encor, rever]",0.0,0.0
3,barack obama est-il un bon leader,"[barack, obama, est, il, un, bon, leader]",0.0,0.0,l'amérique fait appel,"[l'amériqu, fait, appel]",0.0,0.0
4,barack obama test tube,"[barack, obama, test, tube]",0.0,0.0,l'amérique fait rêver,"[l'amériqu, fait, rêver]",0.0,0.0
5,barack obama astrology sign,"[barack, obama, astrolog, sign]",0.0,0.0,pourquoi l amérique fait rever,"[pourquoi, l, amériqu, fait, rever]",0.0,0.0
6,barack obama struggles,"[barack, obama, struggl]",0.0,0.333333333333,l'amérique qui fait peur,"[l'amériqu, qui, fait, peur]",0.0,0.0
7,barack obama struggles and hardships,"[barack, obama, struggl, hardship]",0.0,0.25,pourquoi l'amerique fait elle rever,"[pourquoi, l'ameriqu, fait, ell, rever]",0.0,0.0
8,barack obama is the isis leader,"[barack, obama, isi, leader]",0.0,0.0,l'amérique ne fait plus rever,"[l'amériqu, ne, fait, plu, rever]",0.0,0.0
9,barack obama state of the union 2016,"[barack, obama, state, union, 2016]",0.0,0.0,reprise pourquoi l'amérique fait mieux que nous,"[repris, pourquoi, l'amériqu, fait, mieux, que, nou]",0.0,0.0
10,barack obama stephen harper,"[barack, obama, stephen, harper]",0.0,0.0,l'amérique est un pays,"[l'amériqu, est, un, pay]",0.0,0.0
11,barack obama stand up poster,"[barack, obama, stand, poster]",0.0,0.0,l'amérique est mon pays mais paris est mon chez moi,"[l'amériqu, est, mon, pay, mai, pari, est, mon, chez, moi]",0.0,0.0
12,barack obama is the first gay president,"[barack, obama, first, gay, presid]",0.0,0.0,l'amérique est il un pays,"[l'amériqu, est, il, un, pay]",0.0,0.0
13,barack obama stress,"[barack, obama, stress]",0.0,0.333333333333,l'amérique est figée,"[l'amériqu, est, figé]",0.0,0.0
14,barack obama state dinner speech,"[barack, obama, state, dinner, speech]",0.0,0.0,l'amerique est elle une democratie,"[l'ameriqu, est, ell, une, democrati]",0.0,0.0
